name,rating,appearances,likeability
Robert De Niro,125.98048903282405,73,256.46473146026375
Tom Hanks,127.67618809901313,55,249.22372377810376
Woody Allen,99.83927448927922,113,248.89634449238537
Brad Pitt,127.67618809901313,38,237.6222983263552
Clint Eastwood,109.73581201375025,70,237.4347814915554
Matt Damon,121.70705203343519,45,233.38596809028684
Samuel L. Jackson,129.12705387286556,62,229.45189271973166
Johnny Depp,112.67764797592565,51,229.11793774809766
Morgan Freeman,137.37050462782292,51,228.30646367428986
Quentin Tarantino,129.12705387286556,22,227.72389593047157
Robert Downey Jr.,116.85089419725624,41,227.06776119795236
Sylvester Stallone,95.64311699363282,69,227.03141288247542
Tom Cruise,105.8719220387872,38,225.12342474502125
Mel Gibson,116.0502886868999,51,224.12130739539433
Al Pacino,132.5103344503708,41,223.76555314987039
Christian Bale,132.9391980269254,28,222.93697577394983
Christopher Nolan,132.9391980269254,17,222.3981824274957
Ethan Hawke,105.8927023790298,49,219.8917727325263
Nicolas Cage,100.52309778473713,82,219.83806883210187
Bruce Willis,113.06274276157875,73,218.75501183228099
Leonardo DiCaprio,128.90609319191455,23,217.86080946577454
Denzel Washington,101.01302727878324,44,216.90965322510698
Anthony Hopkins,121.70705203343519,50,216.09489268445645
Jack Nicholson,120.08991039755102,45,214.9808436349438
Ben Affleck,114.18161896140946,39,214.35267044946855
Harrison Ford,121.06972347291317,36,213.42139098924977
Russell Crowe,120.87829316161573,32,212.4160419751418
Ewan McGregor,108.73398167570332,49,212.35197241022686
Martin Scorsese,121.02414041858681,22,211.57250022386188
George Clooney,104.79481046638202,40,210.9692470147375
Keanu Reeves,125.779070663989,42,209.88509360285133
Liam Neeson,126.70087340188589,49,209.70254589834062
Kevin Spacey,122.85542201000608,32,208.99794085936622
Julianne Moore,110.0371937958571,47,208.05136791684023
Scarlett Johansson,119.66193599067,30,207.935744154471
Francis Ford Coppola,132.5103344503708,32,206.33376055232344
Ed Harris,113.28718657530703,41,205.6482499690296
Adam Sandler,92.54571156105578,52,204.60159911920616
Kevin Costner,99.80879826194587,42,203.9786564986846
Willem Dafoe,104.663910523702,50,203.8909540943148
Hugh Jackman,119.66193599067,27,203.8316147818945
Gene Hackman,105.89568919638772,53,203.70808625057654
James Stewart,111.88869931292307,44,203.15630651334024
Sean Connery,110.82919841508144,45,202.45111061650863
Ryan Reynolds,110.52408446371419,39,201.5196581501957
Mark Wahlberg,99.83531602830168,42,201.50334268619508
Meryl Streep,97.39349319820995,45,200.975716761105
Joaquin Phoenix,120.87829316161573,31,200.6707348360588
Bradley Cooper,111.2865659021488,24,200.26227045336458
Matthew McConaughey,123.37679375762741,33,199.70899865797037
Nicole Kidman,98.8703498603827,49,199.5264468900516
Jeff Bridges,110.0371937958571,47,199.1111226745133
Steven Spielberg,126.70087340188589,18,198.88496914235478
Ian McKellen,129.62967500579754,16,198.6821926405528
Jake Gyllenhaal,108.84111034967933,25,198.41596913584357
Michael Caine,116.04625891560099,63,197.9913278827748
Owen Wilson,99.66292267860308,40,197.7281819672216
Uma Thurman,129.12705387286556,25,197.60021368816476
Sean Penn,107.95477667774716,34,197.3596004296397
John Hughes,101.84577012401,33,197.24147899880796
Sigourney Weaver,116.13995570821433,33,196.8104041890493
Edward Norton,127.67618809901313,23,196.5858473248411
Will Smith,104.96289099786925,30,196.3064356118674
Robin Williams,114.18161896140946,38,195.52198982959587
Robert Duvall,125.98048903282405,48,195.43704964380314
Tim Robbins,137.37050462782292,32,195.1383916862904
Arnold Schwarzenegger,119.63305834480995,32,195.0867072844801
Charles Chaplin,105.2302205975557,21,195.0046712721557
Woody Harrelson,106.1769420695011,44,194.92474638352067
Jude Law,101.41368291987189,32,194.69942584323667
Kurt Russell,106.01598475231962,38,194.591302409775
Natalie Portman,114.06873004970251,29,194.55438251927717
Viggo Mortensen,129.62967500579754,27,194.42508144309713
Chris Evans,116.85089419725624,22,194.09071370234045
Jim Carrey,114.55171655875361,28,194.07366030784618
Bill Murray,108.0073742651626,31,193.97509548539986
Kate Winslet,114.55171655875361,30,193.90908592194333
Robert Redford,103.42393337040117,45,193.7411095362282
Gary Oldman,99.21104247854785,41,193.3843594824895
Rachel McAdams,105.63334190802816,24,192.84391455978982
Ralph Fiennes,126.70087340188589,31,192.7251890414339
Cate Blanchett,106.40340896454181,30,192.59312439989185
Tommy Lee Jones,112.84064585177936,45,192.5759555864559
Daniel Craig,107.05316780267529,25,192.51259944800705
John Wayne,90.92447147939941,76,192.2631753197043
Anne Hathaway,123.37679375762741,26,191.81775794819953
Charlize Theron,111.70056127483787,34,191.77742016015546
Jennifer Connelly,113.07205092212959,28,190.99410632941405
John Cusack,99.16054393360928,48,190.99237027893773
Mark Ruffalo,115.43857354394046,26,190.58940121714556
M. Night Shyamalan,113.06274276157875,25,190.14089828684985
Dustin Hoffman,105.07433558615682,30,189.8409170071707
Ben Kingsley,126.70087340188589,36,189.15930216913193
Sandra Bullock,104.79481046638202,34,188.88776827354067
Keira Knightley,108.25456405425625,27,188.63848961368117
Ryan Gosling,106.01308570486775,22,188.6308626319383
Daniel Radcliffe,110.60826862707276,19,188.60101462563975
Joel Coen,112.84064585177936,19,188.36404809705786
Gerard Butler,109.2896280380796,31,188.3021491639286
Ben Stiller,92.37389682751272,36,188.04114508132835
John Travolta,129.12705387286556,44,187.4009985471637
Elijah Wood,129.62967500579754,24,187.05003936178147
Ethan Coen,112.84064585177936,19,186.96616152005646
Steve Carell,101.904927263628,27,186.90129689545304
George Lucas,121.06972347291317,13,186.71350992537575
Jodie Foster,121.70705203343519,30,186.67621760585183
Dennis Quaid,85.76516014518704,50,186.28233522221035
Harvey Keitel,114.62713353396808,43,185.83155501871101
Jason Statham,113.22160451780184,30,185.8162548540189
Christopher Plummer,101.65302162503546,37,185.35340423428022
Kevin Smith,94.72064775507563,28,185.33539278766796
Amy Adams,106.39737913899792,22,185.25676019117023
Paul Newman,103.42393337040117,38,185.20953039781156
Joe Pesci,121.02414041858681,20,184.69155335788557
Joseph Gordon-Levitt,128.90609319191455,22,184.6301497639689
Robert Zemeckis,127.67618809901313,17,184.52238511754894
Jessica Chastain,123.37679375762741,26,184.26245459044674
John Goodman,110.0371937958571,36,183.98999428290784
Rachel Weisz,91.96460021042884,31,183.83026744169317
Julia Roberts,101.92856662068722,35,183.49076741822967
Shah Rukh Khan,91.41243554744422,37,183.12063148006212
Ron Howard,112.55877062291279,27,182.727428861762
Tom Hardy,120.50756599582213,16,182.71953312480798
Robert Rodriguez,108.34961467735026,25,182.6734795119532
Forest Whitaker,106.02578458016612,36,181.1986296742322
Marlon Brando,132.5103344503708,29,181.17093030430587
Henry Fonda,121.97561623639002,30,181.1693012314027
