name,rating,appearances,likeability
Steven Spielberg,126.70087340188589,30,225.13656519955111
Martin Scorsese,121.02414041858681,23,214.13680747607376
Clint Eastwood,109.73581201375025,39,211.04654210878755
Alfred Hitchcock,113.86123402846735,36,209.8947657462062
Ridley Scott,120.87829316161573,26,205.75207999982567
Woody Allen,99.83927448927922,46,203.25396686781662
Robert Zemeckis,127.67618809901313,20,194.25082618371877
Christopher Nolan,132.9391980269254,11,190.89445968232832
Ron Howard,112.55877062291279,26,187.9985613744707
Quentin Tarantino,129.12705387286556,11,185.81618682254748
Francis Ford Coppola,132.5103344503708,21,184.00532199080197
Peter Jackson,129.62967500579754,12,183.64306551084886
Stanley Kubrick,115.97434643182186,12,179.79405952555646
Billy Wilder,103.29334687390858,21,177.29169620712665
Steven Soderbergh,101.92856662068722,28,175.04294287686113
Sidney Lumet,121.97561623639002,24,174.91460611039113
Rob Reiner,104.4022728709166,20,174.4963938960342
Guy Ritchie,113.22160451780184,13,172.46753989469195
Richard Linklater,102.18041090422119,19,170.27153632733666
Tim Burton,103.90150779262181,17,170.23269010939114
John Ford,92.57930523385254,34,169.60965690967845
John Huston,96.16990212561483,28,165.2305387250684
Roman Polanski,115.64071097651329,16,164.9134194881745
David Fincher,127.67618809901313,9,164.41813408224144
Oliver Stone,104.663910523702,19,164.039085528757
Sam Raimi,100.57426006313825,15,163.37047650072265
Spike Lee,97.4003704503481,22,161.48942112614168
Richard Donner,96.21153031784438,18,160.92727822718194
David Cronenberg,94.18339681479321,21,160.74641115068772
Danny Boyle,109.09107113653471,13,158.56940788898407
Howard Hawks,88.27911731221783,23,157.66524768893916
Brian De Palma,99.76172973915745,21,156.67743305042214
Bryan Singer,118.2419762710331,10,156.48974229220923
Chris Columbus,102.88210084638884,15,156.26887490242223
Barry Levinson,105.07433558615682,21,156.09462497871604
Tony Scott,98.46981964344785,15,155.22725136981998
Peter Weir,113.28718657530703,13,153.7464713668885
John Carpenter,106.01598475231962,16,153.14335474219044
Joel Schumacher,92.2553656083591,18,152.78753352872087
James Mangold,109.4227817214592,11,152.34820230722033
Mike Nichols,100.04941790384409,18,151.97146456766842
Fritz Lang,100.0585729731034,23,151.1837719015499
William Wyler,94.6218896384821,19,150.9359100857435
Lasse Hallström,101.56563319250836,15,150.7717961198953
M. Night Shyamalan,113.06274276157875,13,150.44258904836136
Michael Bay,94.14195499997331,15,150.1338027635188
Gus Van Sant,114.18161896140946,15,149.8293497328566
Michael Curtiz,85.63268920248106,29,149.69933762664246
John Landis,96.308576160989,17,148.9319326870633
Robert Rodriguez,91.04761251002526,16,148.14701294916108
Zack Snyder,103.35877656331462,11,148.05271382458986
Michael Mann,110.9385765673135,11,147.06426125856768
Blake Edwards,91.88049510248408,24,146.94174856390532
Edward Zwick,105.59459534832365,12,146.83957271341276
Joel Coen,110.0371937958571,10,146.61989907979105
Antoine Fuqua,99.82695255002287,13,146.32648534113568
Stephen Frears,89.5040440276894,18,145.9421988190596
Don Siegel,92.02408904844066,24,145.71741108544103
Terry Gilliam,108.14283916712712,12,144.432368547108
Todd Phillips,117.58178976396913,10,144.3929652995897
Robert Altman,82.51574880903179,22,143.5349216723977
Jonathan Demme,121.70705203343519,15,142.4468723722857
Gore Verbinski,112.67764797592565,10,142.3825282312451
Kevin Smith,94.72064775507563,13,141.721719335971
Kenneth Branagh,95.34498035761445,14,141.34698539887972
Alan Parker,90.31825530924814,14,141.33076928432226
Roland Emmerich,92.72444550029724,14,141.2087081109567
Elia Kazan,96.69936492303403,15,141.15014035984527
Sam Mendes,116.85089419725624,8,141.0842976247639
Anthony Russo,116.85089419725624,7,141.03400003666616
Frank Capra,111.88869931292307,10,140.1330321509595
Milos Forman,120.08991039755102,9,140.10481174703492
Wolfgang Petersen,104.3379458112358,11,139.37719596679057
Wes Anderson,109.95516777843189,9,139.15631617704588
Robert Wise,99.96596598854464,19,139.05884706479074
John Frankenheimer,87.20468615562432,23,138.7641792619779
Ivan Reitman,100.74923402251291,15,138.74875914550904
Richard Fleischer,78.25586852698724,25,137.02668711831606
George Miller,111.70056127483787,13,136.81776408742599
Martin Campbell,107.05316780267529,12,136.79112280883726
David Yates,110.60826862707276,8,136.66289968779228
Paul Greengrass,106.81509228546062,9,136.3672764194301
Denis Villeneuve,108.84111034967933,7,136.30642541886107
Sydney Pollack,85.62683836089712,16,136.09579825654222
Robert Aldrich,87.32070771371686,19,135.39348285219307
Marc Forster,94.21436214784224,10,135.3923229514686
Charles Chaplin,105.2302205975557,8,135.37536151848278
Walter Hill,86.49546069199806,19,135.30000175241125
Mike Newell,102.58596223378375,11,135.2531764026813
Shawn Levy,90.55477778368301,12,135.18831210777307
David Lynch,101.5162128117596,10,134.98916925908784
Otto Preminger,88.7792801680685,19,134.91372612429998
David O. Russell,103.6440263783288,9,134.79718700418928
Jim Jarmusch,86.0407760283748,12,134.76975701220977
David Lean,104.36571032688494,10,134.56108504329228
Doug Liman,105.8719220387872,9,133.94694082121893
William Friedkin,104.38179245545439,12,133.88331921634588
Guillermo del Toro,109.86752627057407,9,133.4820247033509
Anurag Kashyap,93.89861050226756,12,133.07796895294624
Edgar Wright,104.40524439188418,7,132.8030340922059
Roger Donaldson,87.16501663378533,14,132.7957324980389
Neil Jordan,94.97623119426788,15,132.75316990185127
J. Lee Thompson,81.29685683779847,29,132.28520574811478
Norman Jewison,88.67942280089574,15,131.83943800763097
Renny Harlin,90.79684668421814,18,131.83490405332893
Paul Thomas Anderson,108.72085616471438,8,131.4743838035581
Raoul Walsh,84.27452900763379,26,131.3755577028324
James Cameron,119.63305834480995,6,131.09726781052433
John McTiernan,112.05996822396091,8,130.7952524453968
Paul Verhoeven,95.18685345983906,10,130.4123133744169
Kathryn Bigelow,97.5773540519678,10,130.34708670141964
Darren Aronofsky,113.07205092212959,7,130.29801203835288
Garry Marshall,89.95562729851243,16,130.25492068825437
Ethan Coen,112.84064585177936,8,130.1754506829071
Anthony Mann,75.26650539927456,23,129.96759875976042
Robert Stevenson,93.9397189850527,23,129.83352158541797
James Wan,98.32718097127544,9,129.76010562622224
George Cukor,89.4007309305449,14,129.4824003504683
Peter Berg,94.17547137857508,11,129.45451298737513
Jon Favreau,109.14253340791777,8,129.1947114551992
Ang Lee,105.36605058046807,9,128.80817956627374
Paul Schrader,77.62505948499273,22,128.7913124550441
Barry Sonnenfeld,96.58133978803878,11,128.4498138962161
Joseph L. Mankiewicz,96.5573757813893,14,128.40525657577004
Lars von Trier,95.23974042197001,10,127.94325669887952
Henry Hathaway,69.16087722357231,31,127.84018078198676
Peter Bogdanovich,87.13901333360678,13,127.80365550171348
Dennis Dugan,86.14142586349924,14,127.64793086063867
Stanley Donen,102.75421540702499,12,127.63694431163108
Andrew Davis,98.10556237530872,12,127.47145431229099
Alfonso Cuarón,105.34052551787464,7,127.41747333587
Jason Reitman,98.66848615117925,9,127.38635214829246
Joe Wright,98.07861934333764,9,127.22005970543711
Michael Apted,78.11886493139312,16,127.02175427936051
F. Gary Gray,95.12897401547805,9,126.7378571972259
Richard Attenborough,99.96596598854464,12,125.87700707734808
Phillip Noyce,80.96485418746637,12,125.78610975665794
Stanley Kramer,93.38795381693733,11,125.58676761654104
Luc Besson,99.21104247854785,10,125.33270776327818
John Hughes,100.39641005628455,8,125.2795306569671
William A. Wellman,80.34599595929029,19,125.15897671048411
Mervyn LeRoy,77.67617801883812,16,124.70965984988317
Harold Ramis,108.0073742651626,9,124.2247608297078
Vincente Minnelli,75.64356831997561,17,124.22458253116783
Taylor Hackford,96.03681859964158,10,123.69426742410924
Brett Ratner,90.04447611345968,10,123.68870627745329
Richard Brooks,85.31664705903283,15,123.55363426041892
Sam Peckinpah,89.57471941482106,13,123.4259525451541
Curtis Hanson,108.73515433747396,9,123.34410634977043
John Sturges,76.99074253902148,21,123.1151381451153
George Roy Hill,103.42393337040117,9,122.88769701011647
Joe Johnston,93.99128808135211,9,122.88019910521952
Terence Young,87.3059726133088,16,122.67885491114131
Jay Roach,88.9691155805144,10,122.35074913532353
