name,rating,appearances,likeability
Stephen King,137.37050462782292,33,203.18142043485082
Woody Allen,99.83927448927922,45,202.73933277218632
Quentin Tarantino,129.12705387286556,13,190.01462452911804
John Hughes,101.84577012401,23,175.20795463741933
Luc Besson,103.7243683791704,24,168.75164447131016
Stanley Kubrick,112.95043702479857,9,156.60942955310725
Joe Russo,116.85089419725624,9,154.1220511931714
Ethan Coen,110.0371937958571,10,150.11822295525135
Michael Crichton,112.93534506701457,17,149.5622062058608
George Lucas,121.06972347291317,9,148.53096387017928
M. Night Shyamalan,113.06274276157875,12,148.1703279052234
Joel Coen,112.84064585177936,11,145.81652099524618
Billy Wilder,102.33525635151119,11,144.46179127698903
Richard Linklater,102.18041090422119,10,143.18365197928463
David Mamet,99.76172973915745,18,143.0508813078126
James Cameron,119.63305834480995,7,141.1656547466197
J.K. Rowling,105.34052551787464,8,140.65868486586447
William Shakespeare,88.41221656013832,14,139.60393358783497
Andrew Niccol,113.28718657530703,9,139.45017117501806
Kevin Smith,94.72064775507563,12,139.22129109094948
Fran Walsh,106.08841578856627,9,137.72277905484327
Lilly Wachowski,125.779070663989,7,137.0521221800572
Paul Schrader,111.48810194201695,15,135.9301831353645
John Logan,101.23224545448008,8,135.5949415267911
Charles Chaplin,105.2302205975557,8,135.37536151848278
Jim Jarmusch,86.0407760283748,12,134.76975701220977
Richard Maibaum,93.51031876195307,10,134.67372479290984
Steven Knight,94.18339681479321,12,134.44127676192903
Lars von Trier,95.23974042197001,11,133.42625801197934
Aaron Sorkin,104.83269865539499,9,133.1105317982835
Francis Ford Coppola,125.98048903282405,9,131.95877584440277
Steve Kloves,110.60826862707276,7,131.93050538786156
John Carpenter,96.21153031784438,13,131.84845866042824
Robert Zemeckis,118.98157297544495,8,131.76186950010523
Paul Thomas Anderson,108.72085616471438,8,131.4743838035581
Guy Ritchie,113.22160451780184,6,131.17692147480466
Leigh Whannell,98.25871757532063,10,130.09681987238838
Lawrence Kasdan,114.66873763110348,8,129.95289482094307
Javed Akhtar,88.41221656013832,19,129.4749895297777
Gene Roddenberry,90.05340206758422,11,129.00246799326305
James Gunn,111.2865659021488,8,128.53765333269644
William Monahan,119.66193599067,8,128.48964334785504
Robert Rodriguez,86.97563566972333,13,127.16241846971683
Tony Gilroy,106.81509228546062,8,126.85393538161625
Bob Kane,116.04625891560099,8,126.59702208271526
Peter Morgan,105.80716832128829,8,125.24638776978095
Neal Purvis,107.05316780267529,7,124.81714744749955
Peter Farrelly,89.72877093988555,12,124.23891276581845
Christopher Nolan,128.90609319191455,5,123.57245502463346
Philip Yordan,74.4657654802751,18,122.70278298219921
